State,Location,Address,City,Facility,Hours,Phone Number,Eligibility,Link
Alabama,Brookwood Baptist,2010 Brookwood Medical Center Drive,Birmingham,Clinic,,(205) 877-1000,,https://www.brookwoodbaptisthealth.com/our-response-to-covid-19
Alabama,Southview Medical Group,833 St. Vincent's Drive - POB III,Birmingham,Clinic,,(205) 933-4640,,http://www.southviewmedical.com/
Alabama,American Family Care,"3000 Cahaba Village Plaza, Suite 110",Birmingham,Clinic,8am - 6pm,205-293-1205,,https://www.afcurgentcare.com/cahaba-village/
Alabama,Southview Medical Group,7191 Cahaba Valley Rd,Birmingham,Clinic,,205-408-6600,,http://www.southviewmedical.com/
Alabama,Cahaba Medical Care,1308 Tuscaloosa Avenue,Birmingham,Drive-thru,,205-679-6325,https://www.surveymonkey.com/r/CMCcurbsideWE,https://www.cahabamedicalcare.com/
Alabama,UAB Medicine,University Blvd & 22nd Street S,Birmingham,Drive-thru,9-1:30,205-975-1881,"appt only, call to schedule",https://www.birminghamal.gov/2020/03/30/covid-19-testing-sites-and-sick-clinics-available-in-birmingham/
Alabama,Acton Quick Care Clinic,2868 Acton Road,Birmingham,Drive-thru,,205.273.9424,healthcare workers or first responders call 205.525.6133,https://www.actonquickcare.com/
Alabama,Sparks & Favor,4700 Highlands Way,Birmingham,Drive-thru,,205.397.1286,,https://sparksandfavorpc.com/for-families-in-greater-birmingham-our-response-to-thecovid-19-situation/
Alabama,Church of the Highlands Grandview,4700 Highlands Way,Birmingham,Drive-thru,,,,https://www.wvtm13.com/article/drive-thru-coronavirus-testing-in-birmingham-bessemer-and-tuscaloosa/31651212#
Alabama,Walgreens,4501 Valleydale Road,Birmingham,Drive-thru,9am-5pm,,Appointment only – complete questionnaire: Walgreens.com/Covid19Testing,https://www.walgreens.com/findcare/covid19/testing?ext=goodrx
Alabama,Trust Care,"1645 W. Government St., Suite F",Brandon,Clinic,,(601) 829-6600,,https://www.trustcarehealth.com/covid19?utm_source=website&utm_medium=sticky&utm_campaign=covid19curbside
Alabama,Main Street Family Care,2134 Douglas Ave.,Brewton,Clinic,"Mon - Fri: 8am to 8pm, Sat-Sun: 9am to 4pm",(251) 236-4026,,https://www.mainstreetfamilycare.com/coronavirus-testing/#
Alabama,Northeast Alabama Health Services,29810 Alabama Hwy 71,Bryant,Drive-thru,M-F 1pm - 4pm,256-597-4114,,https://neahsi.com/
Alabama,Main Street Family Care,"1925 West Main Street, Suite 102",Centre,Clinic,"Mon - Fri: 8am to 8pm, Sat - Sun: 9am to 4pm",(256) 677-4552,,https://www.mainstreetfamilycare.com/coronavirus-testing/#
Alabama,Cahaba Medical Care,195 Hospital Drive,Centreville,Clinic,,205-926-2992,go to “specialty clinic” check-in,
Alabama,Citronelle Health Center,19240 N. Mobile St,Citronelle,Drive-thru,,(251) 866-9126,,http://mchd.org/Documents/BulkDocuments/News_611202085057am_COVID19TestingSites_v4.pdf.pdf
Alabama,Chilton County Health Department,301 Health Center Drive,Clanton,Drive-thru,Wednesdays 10-12,(205) 755-1287,call for appt; symptomatic/10+ years or older,https://www.alabamapublichealth.gov/news/2020/04/24.html
Alabama,Trust Care,"601 Highway 80 Clinton, MS",Clinton,Clinic,,(601) 708-1480,,https://www.trustcarehealth.com/covid19?utm_source=website&utm_medium=sticky&utm_campaign=covid19curbside
Alabama,Cullman Regional Screening Site,1958 Alabama Highway 157,Cullman,Drive-thru,M-F 10-2,256-735-5530,,https://cullmanregional.com/cullman-regional-now-offering-covid-19-antibody-testing/
Alabama,American Family Care,1841 Cherokee Ave SW,Cullman,Clinic,,256-743-5026,,https://www.afcurgentcare.com/cullman/?utm_source=GMB&utm_medium=organic&utm_campaign=cullman
Alabama,Clears Clinic,"28720 U.S. Hwy. 98,Suite 1",Daphne,Drive-thru,,251-263-3229,,https://clearsclinic.com/
Alabama,Urgent Team,1115 Beltline Rd SE Suite 400,Decatur,Clinic,,(256) 898-3004,,https://www.urgentteam.com/coronavirus-covid-19/
Alabama,Walmart,1701 US-43,Demopolis,Drive-thru,Tues 10 a.m. - 3 p.m.,,,https://corporate.walmart.com/covid19testing
Alabama,Whitfield Regional Hospital parking lot,105 U.S. Highway 80 East,Demopolis,Drive-thru,MWF 9-1,,email covid19@bwwmh.com for more info,https://sewell.house.gov/coronavirus
Alabama,Capstone Clinic,110 Legion Rd Ste B,Double Springs,Clinic,Mon – Fri: 8AM - 5PM and closed for lunch Daily 12:30 - 1:30,(205) 874-4858,,http://www.capstoneclinic.org/announcements/capstone-giving-tests-looking-for-supplies-with-covid?A=SearchResult&SearchID=5848052&ObjectID=104469&ObjectType=7
Alabama,Enterprise Civic Center,2401 Neil Metcalf Road,Enterprise,Drive-thru,,,,https://www.wtvy.com/wrgx/content/news/COVID-19-drive-thru-testing-site-in-Enterprise-569451651.html
Alabama,Main Street Family Care,1026 South Eufaula Ave.,Eufaula,Clinic,"Mon - Fri: 8am to 8pm, Sat - Sun: 9am to 4pm",(334) 689-4025,,https://www.mainstreetfamilycare.com/coronavirus-testing/#
Alabama,Evergreen Family Medical Center,316 S. Main Street,Evergreen,Drive-thru,Only on Fridays,251-444-1122,,https://franklinprimary.org/covid-19/
Alabama,Semmes Health Center,3810 Wulff Road East,Fire Tower,Drive-thru,,(251) 445-0582,,http://mchd.org/Documents/BulkDocuments/News_611202085057am_COVID19TestingSites_v4.pdf.pdf
Alabama,Urgent Team,202 Cox Creek Pkwy,Florence,Clinic,,(256) 349-5496,,https://www.urgentteam.com/coronavirus-covid-19/
Alabama,Trust Care,1710 Old Fannin Road,Flowood,Clinic,,(601) 487-9191,,https://www.trustcarehealth.com/covid19?utm_source=website&utm_medium=sticky&utm_campaign=covid19curbside
Alabama,Northeast Alabama Health Services,3840 Gault Avenue North,Fort Payne,Drive-thru,M-F 1pm - 4pm,256-844-4975,,https://neahsi.com/
Alabama,DeKalb Regional Medical Center,421 Medical Center Drive SW,Fort Payne,Drive-thru,M-F 9-3:30,256-997-2708,call for appt,https://alabamamedicine.org/coronavirus/physician-resources/coronavirus-testing-locations/
Alabama,Norwood Clinic,"339 Walker Chapel Plaza, Suite 115",Fultondale,Clinic,,(205) 250-6424,,http://www.norwoodclinic.com/
Alabama,Norwood Clinic,339 Walker's Chapel Plaza,Fultondale,Clinic,,(205) 380-7878,,http://www.norwoodclinic.com/
Alabama,Norwood Clinic,1604 Stouts Road,Fultondale,Clinic,,(205) 849-9811,,http://www.norwoodclinic.com/
Alabama,Norwood Clinic,"313 Fieldstown Road, Suite 103",Gardendale,Clinic,,(205) 631-0055,,http://www.norwoodclinic.com/
Alabama,Norwood Clinic,"527 Fieldstown Road, Suite C",Gardendale,Clinic,,(205) 631-5671,,http://www.norwoodclinic.com/
Alabama,Gilbertown Medical and Dental Center,140 Front Street Suite 4,Gilbertown,Drive-thru,Only on Fridays,251-444-1122,,https://franklinprimary.org/covid-19/
Alabama,Hale County Hospital,508 Greene Street,Greensboro,Drive-thru,M-F 8-5,334-507-3815,,https://halecountyhospital.com/covid19
Alabama,Norwood Clinic,6150 US Highway 43,Guin,Clinic,,(205) 468-2754,,http://www.norwoodclinic.com/
Alabama,Stopwatch Urgent Care,351 US 31,Hartselle,Clinic,,256.286.0827,,https://www.stopwatchurgentcare.com/
Alabama,Trust Care,6176 US Highway 98,Hattiesburg,Clinic,,(601) 475-0444,,https://www.trustcarehealth.com/covid19?utm_source=website&utm_medium=sticky&utm_campaign=covid19curbside
Alabama,Southern Immediate Care,150 Tompkins St,Heflin,Clinic,,256-568-8818,,https://www.southernimmediatecare.com/telemed/
Alabama,Brookwood Baptist,7131 Cahaba Valley Rd.,Hoover,Clinic,,(205) 725-6800,,https://www.brookwoodbaptisthealth.com/our-response-to-covid-19
Alabama,Ross Bridge Medical Center,3635 Market Street,Hoover,Drive-thru,M-F 8-5,205-92COVID,appt only,www.covidalabama.com
Alabama,Stopwatch Urgent Care,3029 Allison Bonnett Memorial Drive,Hueytown,Clinic,,205.436.8270,,https://www.stopwatchurgentcare.com/
Alabama,John Hunt Park,2151 Airport Rd SW,Huntsville,Drive-thru,,(256) 265-1000,,https://www.huntsvillehospital.org/fever-flu-clinic
Alabama,Urgent Team,900 Bob Wallace Ave Suite 104,Huntsville,Clinic,,(256) 539-0781,,https://www.urgentteam.com/coronavirus-covid-19/
Alabama,Mostellar Medical Center,12701 Padget Switch Rd,Irvington,Drive-thru,,(251) 824-2174,,http://mchd.org/Documents/BulkDocuments/News_611202085057am_COVID19TestingSites_v4.pdf.pdf
Alabama,Trust Care,4880 I-55 Frontage Road North,Jackson,Clinic,,(601) 487-9199,,https://www.trustcarehealth.com/covid19?utm_source=website&utm_medium=sticky&utm_campaign=covid19curbside
Alabama,Walker County Health Department,705 20th Avenue East,Jasper,Drive-thru,Thursdays 10-12,(205) 221-9775,call for appt; symptomatic/10+ years or older,https://www.alabamapublichealth.gov/news/2020/04/24c.html
Alabama,Brookwood Baptist,3400 Hwy 78 E,Jasper,Clinic,,(205) 387-4000,,https://www.brookwoodbaptisthealth.com/our-response-to-covid-19
Alabama,Stopwatch Urgent Care,3838 Highway 80 West,Ladonia,Clinic,,334.650.7025,,https://www.stopwatchurgentcare.com/
Alabama,Urgent Team,300 Hughes Rd Suite G-2,Madison,Clinic,,(256) 542-0230,,https://www.urgentteam.com/coronavirus-covid-19/
Alabama,Madison Core Laboratories,"120 W. Dublin Dr, Ste. 105",Madison,Clinic,,(256) 850-0075,Call our main number (256) 850-0075 option 19 then option 1 for information and instructions on COVID-19 testing at MCL.,https://www.madisoncorelabs.com/services/molecular/covid19
Alabama,Respiratory Virus Evaluation Clinic,1303 Washington Street,Marion,Clinic,,334-247-1006,use side-entrance check-in and waiting room area,
Alabama,Urgent Medcare,12287 US-231/431,Meridianville,Drive-thru,,256-828-1154,,https://urgentmedcareonline.com/drive-thru-covid-19-testing/
Alabama,Main Street Family Care,1401 AL Hwy 14,Millbrook,Clinic,"Mon - Fri: 8am to 8pm, Sat-Sun: 9am to 4pm",(334) 310-6059,,https://www.mainstreetfamilycare.com/coronavirus-testing/#
Alabama,Main Street Family Care,6280 Grelot Road,Mobile,Clinic,"Mon-Fri 12pm-10pm, Sat - Sun 9am-9pm",(251) 288-5606,,https://www.mainstreetfamilycare.com/coronavirus-testing/#
Alabama,Keeler Memorial Building,251 N Bayou St,Mobile,Drive-thru,,(251) 410-6243,,http://mchd.org/Documents/BulkDocuments/News_611202085057am_COVID19TestingSites_v4.pdf.pdf
Alabama,USA Health,401 Civic Center Dr,Mobile,Drive-thru,,(251) 434-3711,,https://www.usahealthsystem.com/covid-19
Alabama,Dauphin island Parkway Health Center,2601 Dauphin Island Pkway,Mobile,Drive-thru,,(251) 445-3450,,http://mchd.org/Documents/BulkDocuments/News_611202085057am_COVID19TestingSites_v4.pdf.pdf
Alabama,Eight Mile Health center,4009 St. Stephens Rd,Mobile,Drive-thru,,(251) 456-2399,,http://mchd.org/Documents/BulkDocuments/News_611202085057am_COVID19TestingSites_v4.pdf.pdf
Alabama,Compass Urgent Care,6901 Airport Blvd,Mobile,Drive-thru,,(251) 634-2273,,http://mchd.org/Documents/BulkDocuments/News_611202085057am_COVID19TestingSites_v4.pdf.pdf
Alabama,Southwest Mobile Health Center,5580 Inn Road,Mobile,Drive-thru,,(251) 666-7413,,http://mchd.org/Documents/BulkDocuments/News_611202085057am_COVID19TestingSites_v4.pdf.pdf
Alabama,Women's Health Center / Newburn Complex,248 Cox St,Mobile,Drive-thru,,(251) 690-8935,,http://mchd.org/Documents/BulkDocuments/News_611202085057am_COVID19TestingSites_v4.pdf.pdf
Alabama,Ladd-Peebles Stadium,1621 Virginia St,Mobile,Drive-thru,2-Aug,1-888-872-2650,appt only,https://www.usahealthsystem.com/news/usa-health-2600-patients-tested
Alabama,Infirmary Health,166 Mobile Infirmary Blvd,Mobile,Drive-thru,2-Oct,251-341-CV19,,https://www.infirmaryhealth.org/coronavirus-covid-19
Alabama,Franklin Medical Mall,1303 Martin Luther King Jr. Ave,Mobile,Drive-thru,,251-444-1122,,https://franklinprimary.org/covid-19/
Alabama,Greater Mobile Urgent Care,2350 Schillinger Road,Mobile,Drive-thru,,251-633-0123,,http://greatermobileurgentcare.com/coronavirus-testing.html
Alabama,Diagnostic and Medical Clinic,1700 Springhill Ave,Mobile,Drive-thru,5-Aug,,screening required at location,https://diagnosticandmedical.com/coronavirus/
Alabama,Diagnostic and Medical Clinic,831 C Hillcrest Road,Mobile,Drive-thru,5-Aug,,screening required at location,https://diagnosticandmedical.com/coronavirus/
Alabama,The Grounds in Mobile,1035 Cody Rd N,Mobile,Drive-thru,,,Waiting for testing kits,
Alabama,Monroe County Health Department,416 Agricultural Drive,Monroeville,Drive-thru,Tuesdays 10-12,(251) 575-3109,call for appt; symptomatic/10+ years or older,https://www.alabamapublichealth.gov/news/2020/04/23.html
Alabama,Main Street Family Care,1195 South Alabama Ave.,Monroeville,Clinic,"Mon - Fri: 8am to 8pm, Sat - Sun: 9am to 4pm",(251) 743-2560,,https://www.mainstreetfamilycare.com/coronavirus-testing/#
Alabama,Monroe County Hospital,2016 South Alabama Avenues,Monroeville,Clinic,M-S 6:30-5,251-575-3111,call first,https://alabamamedicine.org/coronavirus/physician-resources/coronavirus-testing-locations/
Alabama,Baptist Health Montgomery,2936 Marti Ln,Montgomery,Drive-thru,,(334) 747-0150,,https://www.baptistfirst.org/services/coronavirus-care-clinic?utm_source=local-listing&utm_medium=organic&utm_campaign=website-link
Alabama,American Family Care,4305 Atlanta Hwy,Montgomery,Clinic,8am - 6pm,334-339-7061,,https://www.afcurgentcare.com/atlanta-hwy/?L=true
Alabama,American Family Care,2570 Berryhill Rd,Montgomery,Clinic,8:00 AM - 6:00 PM,334-384-8582,,https://www.afcurgentcare.com/taylor-crossing/
Alabama,American Family Care,34 Taylor Road North,Montgomery,Clinic,8:00 AM - 8:00 PM,334-581-8396,,https://www.afcurgentcare.com/taylor-crossing/
Alabama,Walmart,6495 Atlanta Hwy,Montgomery,Drive-thru,"Tue, Thurs 7 a.m. - 9 a.m.",,,https://corporate.walmart.com/covid19testing
Alabama,Main Street Family Care,2211 Moody Parkway,Moody,Clinic,"Mon - Fri: 8am to 8pm, Sat - Sun: 9am to 4pm",(205) 352-2480,,https://www.mainstreetfamilycare.com/coronavirus-testing/#
Alabama,North Mobile Health Center,950 Coy Smith Highway,Mt Vernon,Drive-thru,,(251) 829-9884,,http://mchd.org/Documents/BulkDocuments/News_611202085057am_COVID19TestingSites_v4.pdf.pdf
Alabama,Urgent Team,210 Avalon Ave,Muscle Shoals,Clinic,,(256) 826-1001,,https://www.urgentteam.com/coronavirus-covid-19/
Alabama,Mitt Lary Family Practice,4815 Rose Blvd,Northport,Drive-thru,,205-606-6562,,https://www.mittlaryfamilypractice.com/
Alabama,Main Street Family Care,2022 2nd Ave. East,Oneonta,Clinic,"Mon - Fri: 8am to 8pm, Sat - Sun: 9am to 4pm",(205)-625-3650,,https://www.mainstreetfamilycare.com/coronavirus-testing/#
Alabama,Stopwatch Urgent Care,151 N 20th Street,Opelika,Clinic,,334.203.1777,,https://www.stopwatchurgentcare.com/
Alabama,Capstone Clinic,"5947 Hwy 269, AL 35580",Parrish,Clinic,"Mon, Wed, Fri: 8AM – 5PM and Tue, Thu: 8AM – 7PM",(205) 686-5113,,http://www.capstoneclinic.org/announcements/capstone-giving-tests-looking-for-supplies-with-covid?A=SearchResult&SearchID=5848052&ObjectID=104469&ObjectType=7
Alabama,Main Street Family Care,300 Big Mountain Road,Pelham,Clinic,"Mon-Fri 12pm-10pm, Sat-Sun 9am-9pm",205-644-8289,,https://www.mainstreetfamilycare.com/coronavirus-testing/#
Alabama,Stopwatch Urgent Care,"5415 Summerville Rd, Suite B",Phenix City,Clinic,,334.384.9411,,https://www.stopwatchurgentcare.com/
Alabama,Baptist Health Prattville,350 County Rd 4 W,Prattville,Drive-thru,,(334) 747-0150,,https://www.baptistfirst.org/services/coronavirus-care-clinic?utm_source=local-listing&utm_medium=organic&utm_campaign=website-link
Alabama,Franklin's Mobile Express / Prichard City Hall,216 E. Prichard Ave,Prichard,Drive-thru,,(251) 444-1122,,http://mchd.org/Documents/BulkDocuments/News_611202085057am_COVID19TestingSites_v4.pdf.pdf
Alabama,Franklin Medical and Dental Express,216 E Prichard Ave,Prichard,Drive-thru,,251-444-1122,,https://franklinprimary.org/covid-19/
Alabama,Trust Care,786 Lake Harbour Drive,Ridgeland,Clinic,,(601) 499-0022,,https://www.trustcarehealth.com/covid19?utm_source=website&utm_medium=sticky&utm_campaign=covid19curbside
Alabama,Trust Care,"1051 Highland Colony Parkway, Suite E",Ridgeland,Clinic,,(601) 707-3737,,https://www.trustcarehealth.com/covid19?utm_source=website&utm_medium=sticky&utm_campaign=covid19curbside
Alabama,Walmart,1095 Industrial Pkwy,Saraland,Drive-thru,"Mon, Wed, Fri 7 a.m. - 9 a.m.",,,https://corporate.walmart.com/covid19testing
Alabama,Northeast Alabama Health Services,70 Freedom Drive,Scottsboro,Drive-thru,M-F 1pm - 4pm,256-574-5508,,https://neahsi.com/
Alabama,Northeast Alabama Health Services,21680 Alabama Hwy 79,Scottsboro,Drive-thru,M-F 1 pm - 3:30 pm,256-587-3050,,https://neahsi.com/
Alabama,Main Street Family Care,1475 AL Hwy 14 East,Selma,Clinic,"Mon - Fri: 8am to 8pm, Sat - Sun: 9am to 4pm",(334) 526-3240,,https://www.mainstreetfamilycare.com/coronavirus-testing/#
Alabama,Walmart,108 W Dallas Ave,Selma,Drive-thru,"Mon, Fri 10 a.m. - 3 p.m.",,,https://corporate.walmart.com/covid19testing
Alabama,Stopwatch Urgent Care,110 Legacy Park Way,Springville,Clinic,,205.719.1000,,https://www.stopwatchurgentcare.com/
Alabama,Main Street Family Care,40900 US Hwy 280,Sylacauga,Clinic,"Mon - Fri: 8am to 8pm, Sat-Sun: 9am to 4pm",256-369-0022,,https://www.mainstreetfamilycare.com/coronavirus-testing/#
Alabama,Brookwood Baptist,604 Stone Ave,Talladega,Clinic,,(256) 362-8111,,https://www.brookwoodbaptisthealth.com/our-response-to-covid-19
Alabama,Main Street Family Care,837 E. Battle Street,Talladega,Clinic,"Mon - Fri: 8am to 8pm, Sat - Sun: 9am to 4pm",256-649-8134,,https://www.mainstreetfamilycare.com/coronavirus-testing/#
Alabama,Walmart,300 Medical Park Drive,Thomasville,Drive-thru,"Wed, Thurs 10 a.m. - 3 p.m.",,,https://corporate.walmart.com/covid19testing
Alabama,Troy University Soccer Complex,326 Veterans Memorial Drive,Troy,Drive-thru,April 30 10-12,(334) 792-9070,symptomatic/10+ years or older; referral,https://www.alabamapublichealth.gov/news/2020/04/24e.html
Alabama,Stopwatch Urgent Care,1212 Highway 231 S,Troy,Clinic,,334.888.0827,,https://www.stopwatchurgentcare.com/
Alabama,Emergicare,1601 University Blvd E,Tuscaloosa,Clinic,,(205) 349-2273,,https://emergicareclinic.com/
Alabama,Crimson Care,1251 McFarland Blvd NE,Tuscaloosa,Clinic,,(205) 349-2323,,https://www.crimsoncare.com/
Alabama,First Care,1251 McFarland Blvd NE,Tuscaloosa,Clinic,,(205) 349-2323,,https://www.firstcaremd.com/covid-testing
Alabama,Crimson Care,1771 Skyland Blvd E,Tuscaloosa,Clinic,Mon-Fri 8:30am-7:00pm,(205) 507-1119,,https://www.crimsoncare.com/
Alabama,DCH Health System,809 University Blvd E,Tuscaloosa,Clinic,,(205) 759-7111,,https://www.dchsystem.com/covid-19/
Alabama,Crimson Care,1718 Veterans Memorial Parkway,Tuscaloosa,Clinic,,205-507-1100,,https://www.crimsoncare.com/
Alabama,Tuscaloosa County Health Department,2350 Hargrove Road East,Tuscaloosa,Drive-thru,Fridays 10-12,205-562-6900,call for appt; symptomatic/10+ years or older,https://www.alabamapublichealth.gov/news/2020/04/24d.html
Alabama,Whatley Health,2731 Martin Luther King Jr. Blvd.,Tuscaloosa,Clinic,Monday – Friday 7:30 a.m. – 5:00 p.m.,205.758.6647,,https://www.whatleyhealth.org/
Alabama,EAMC-Lanier,4800 48th Street,Valley,Drive-thru,"M-F 10-12, 1-4",334-528-SICK,appt only,https://www.eamc.org/patient-and-guests/covid-19-information/
Alabama,Main Street Family Care,3306 20th Ave.,Valley,Clinic,"Mon - Fri 8am-8pm, Sat - Sun 9am-4pm",334-756-0305,,https://www.mainstreetfamilycare.com/coronavirus-testing/#
Alabama,American Family Care,1680 Montgomery Hwy,Vestavia Hills,Clinic,,205-236-6394,,https://www.afcurgentcare.com/hoover/?utm_source=GMB&utm_medium=organic&utm_campaign=Hoover
Alabama,Christ Health,5705 First Ave. North,Woodlawn,Clinic,,,text SICK to 74000 for pre screening,https://www.birminghamal.gov/2020/03/30/covid-19-testing-sites-and-sick-clinics-available-in-birmingham/
Alabama,Stopwatch Urgent Care,2900 Pepperell Pkwy,‍Opelika,Clinic,,,Register here.,https://www.stopwatchurgentcare.com/
Alaska,Walgreens,4353 Lake Otis Parkway,Anchorage,Drive-thru,9am-5pm,,No appointment needed. A valid ID is required. Bring insurance card if you have one.,
Alaska,,4115 Lake Otis Pkwy,Anchorage,Drive-thru,7-Sep,,,https://www.mainstreetfamilycare.com/coronavirus-testing/#
Alaska,Eagle River,16620 Brooks Loop,Eagle River,Drive-thru,10:00am - 4:00 pm,,,https://www.thelittleclinic.com/drivethru-testing
Alaska,Fairbanks' Foundation Health Partners,9th Avenue & Noble Street,Fairbanks,Drive-thru,,907-458-2888,,https://www.medexpress.com/location/ar/north-little-rock/nla/
Arizona,CVS Health COVID-19 Testing Site,325 West Apache Trail,Apache Junction,Drive-thru,,,schedule here: https://www.cvs.com/minuteclinic/covid-19-testing,
Arizona,CVS Health COVID-19 Testing Site,5400 East Carefree Highway/PO Box 5482,Carefree,Drive-thru,,,schedule here: https://www.cvs.com/minuteclinic/covid-19-testing,
Arizona,NextCare Urgent Care,1683 E Florence Blvd,Casa Grande,Drive-thru,,520-876-0800,,https://nextcare.com/coronavirus-covid-19/
Arizona,CVS Health COVID-19 Testing Site,1686 East Florence Boulevard,Casa Grande,Drive-thru,,,schedule here: https://www.cvs.com/minuteclinic/covid-19-testing,
Arizona,FastMED Urgent Care,"3705 S Arizona Ave, Suite 1",Chandler,Clinic,,480-214-7828,,https://www.fastmed.com/about-fastmed/news-and-press/fastmed-urgent-care-introduces-covid-19-testing-and-telemedicine/
Arizona,NextCare Urgent Care,600 S Dobson Rd,Chandler,Drive-thru,,480-814-1560,,https://nextcare.com/coronavirus-covid-19/
Arizona,FastMED Urgent Care,"2875 W Ray Rd, Suite 8",Chandler,Clinic,,480-899-3070,,https://www.fastmed.com/about-fastmed/news-and-press/fastmed-urgent-care-introduces-covid-19-testing-and-telemedicine/
Arizona,Cigna Medical Center,1717 W. Chandler Blvd.,Chandler,Clinic,,480.821.7565,,https://www.cigna.com/cmgaz/
Arizona,CVS Health COVID-19 Testing Site,2995 East Chandler Heights Road,Chandler,Drive-thru,,,schedule here: https://www.cvs.com/minuteclinic/covid-19-testing,
Arizona,CVS Health COVID-19 Testing Site,4990 South Arizona Avenue,Chandler,Drive-thru,,,schedule here: https://www.cvs.com/minuteclinic/covid-19-testing,
Arizona,CVS Health COVID-19 Testing Site,180 North Dobson Road,Chandler,Drive-thru,,,schedule here: https://www.cvs.com/minuteclinic/covid-19-testing,
Arizona,CVS Health COVID-19 Testing Site,3990 West Ray Road,Chandler,Drive-thru,,,schedule here: https://www.cvs.com/minuteclinic/covid-19-testing,
Arizona,CVS Health COVID-19 Testing Site,5975 West Chandler Boulevard,Chandler,Drive-thru,,,schedule here: https://www.cvs.com/minuteclinic/covid-19-testing,
Arizona,CVS Health COVID-19 Testing Site,990 East Pecos Road,Chandler,Drive-thru,,,schedule here: https://www.cvs.com/minuteclinic/covid-19-testing,
Arizona,CVS Health COVID-19 Testing Site,990 East Warner Road,Chandler,Drive-thru,,,schedule here: https://www.cvs.com/minuteclinic/covid-19-testing,
Arizona,Thumb Butte,87 S. State Route 89,Chino Valley,Clinic,,928.208.4309,,https://www.thumbbuttemedicalcenter.com/
Arizona,Northern Arizona Healthcare,269 S Candy Ln,Cottonwood,Drive-thru,"Monday, May 18, the site will be open on Mondays and Thursdays from 8 a.m. to noon.",1-833-708-0894,,https://www.nahealth.com/covid-19-resources/testing-tiers-and-locations
Arizona,CVS Health COVID-19 Testing Site,1179 South State Route 260,Cottonwood,Drive-thru,,,schedule here: https://www.cvs.com/minuteclinic/covid-19-testing,
Arizona,CVS Health COVID-19 Testing Site,286 East 7th Street,Douglas,Drive-thru,,,schedule here: https://www.cvs.com/minuteclinic/covid-19-testing,
Arizona,Walgreens,15385 N Dysart Rd,El Mirage,Drive-thru,9am-5pm,,Appointment only – complete questionnaire: Walgreens.com/Covid19Testing,https://www.walgreens.com/findcare/covid19/testing?ext=goodrx
