State;Location;Address;City;Facility;Phone Number"
"Alabama;Ross Bridge Medical Center;3635 Market Street;Hoover;Drive-thru;205-92COVID"
"Alabama;Stopwatch Urgent Care;3029 Allison Bonnett Memorial Drive;Hueytown;Clinic;205.436.8270"
"Alabama;John Hunt Park;2151 Airport Rd SW;Huntsville;Drive-thru;(256) 265-1000"
"Alabama;Urgent Team;900 Bob Wallace Ave Suite 104;Huntsville;Clinic;(256) 539-0781"
"Alabama;Mostellar Medical Center;12701 Padget Switch Rd;Irvington;Drive-thru;(251) 824-2174"
"Alabama;Trust Care;4880 I-55 Frontage Road North;Jackson;Clinic;(601) 487-9199"
"Alabama;Walker County Health Department;705 20th Avenue East;Jasper;Drive-thru;(205) 221-9775"
"Alabama;Brookwood Baptist;3400 Hwy 78 E;Jasper;Clinic;(205) 387-4000"
"Alabama;Stopwatch Urgent Care;3838 Highway 80 West;Ladonia;Clinic;334.650.7025"
"Alabama;Urgent Team;300 Hughes Rd Suite G-2;Madison;Clinic;(256) 542-0230"
"Alabama;Madison Core Laboratories;120 W. Dublin Dr, Ste. 105;Madison;Clinic;(256) 850-0075"
"Alabama;Respiratory Virus Evaluation Clinic;1303 Washington Street;Marion;Clinic;334-247-1006"
"Alabama;Urgent Medcare;12287 US-231/431;Meridianville;Drive-thru;256-828-1154"
"Alabama;Main Street Family Care;1401 AL Hwy 14;Millbrook;Clinic;(334) 310-6059"
"Alabama;Main Street Family Care;6280 Grelot Road;Mobile;Clinic;(251) 288-5606"
"Alabama;Keeler Memorial Building;251 N Bayou St;Mobile;Drive-thru;(251) 410-6243"
"Alabama;USA Health;401 Civic Center Dr;Mobile;Drive-thru;(251) 434-3711"
"Alabama;Dauphin island Parkway Health Center;2601 Dauphin Island Pkway;Mobile;Drive-thru;(251) 445-3450"
"Alabama;Eight Mile Health center;4009 St. Stephens Rd;Mobile;Drive-thru;(251) 456-2399"
"Alabama;Compass Urgent Care;6901 Airport Blvd;Mobile;Drive-thru;(251) 634-2273"
"Alabama;Southwest Mobile Health Center;5580 Inn Road;Mobile;Drive-thru;(251) 666-7413"
"Alabama;Women's Health Center / Newburn Complex;248 Cox St;Mobile;Drive-thru;(251) 690-8935"
"Alabama;Ladd-Peebles Stadium;1621 Virginia St;Mobile;Drive-thru;1-888-872-2650"
"Alabama;Infirmary Health;166 Mobile Infirmary Blvd;Mobile;Drive-thru;251-341-CV19"
"Alabama;Franklin Medical Mall;1303 Martin Luther King Jr. Ave;Mobile;Drive-thru;251-444-1122"
"Alabama;Greater Mobile Urgent Care;2350 Schillinger Road;Mobile;Drive-thru;251-633-0123"
"Alabama;Diagnostic and Medical Clinic;1700 Springhill Ave;Mobile;Drive-thru;"
"Alabama;Diagnostic and Medical Clinic;831 C Hillcrest Road;Mobile;Drive-thru;"
"Alabama;The Grounds in Mobile;1035 Cody Rd N;Mobile;Drive-thru;"
"Alabama;Monroe County Health Department;416 Agricultural Drive;Monroeville;Drive-thru;(251) 575-3109"
"Alabama;Main Street Family Care;1195 South Alabama Ave.;Monroeville;Clinic;(251) 743-2560"
"Alabama;Monroe County Hospital;2016 South Alabama Avenues;Monroeville;Clinic;251-575-3111"
"Alabama;Baptist Health Montgomery;2936 Marti Ln;Montgomery;Drive-thru;(334) 747-0150"
"Alabama;American Family Care;4305 Atlanta Hwy;Montgomery;Clinic;334-339-7061"
"Alabama;American Family Care;2570 Berryhill Rd;Montgomery;Clinic;334-384-8582"
"Alabama;American Family Care;34 Taylor Road North;Montgomery;Clinic;334-581-8396"
"Alabama;Walmart;6495 Atlanta Hwy;Montgomery;Drive-thru;"
"Alabama;Main Street Family Care;2211 Moody Parkway;Moody;Clinic;(205) 352-2480"
"Alabama;North Mobile Health Center;950 Coy Smith Highway;Mt Vernon;Drive-thru;(251) 829-9884"
"Alabama;Urgent Team;210 Avalon Ave;Muscle Shoals;Clinic;(256) 826-1001"
"Alabama;Mitt Lary Family Practice;4815 Rose Blvd;Northport;Drive-thru;205-606-6562"
"Alabama;Main Street Family Care;2022 2nd Ave. East;Oneonta;Clinic;(205)-625-3650"
"Alabama;Stopwatch Urgent Care;151 N 20th Street;Opelika;Clinic;334.203.1777"
"Alabama;Capstone Clinic;5947 Hwy 269, AL 35580;Parrish;Clinic;(205) 686-5113"
"Alabama;Main Street Family Care;300 Big Mountain Road;Pelham;Clinic;205-644-8289"
"Alabama;Stopwatch Urgent Care;5415 Summerville Rd, Suite B;Phenix City;Clinic;334.384.9411"
"Alabama;Baptist Health Prattville;350 County Rd 4 W;Prattville;Drive-thru;(334) 747-0150"
"Alabama;Franklin's Mobile Express / Prichard City Hall;216 E. Prichard Ave;Prichard;Drive-thru;(251) 444-1122"
"Alabama;Franklin Medical and Dental Express;216 E Prichard Ave;Prichard;Drive-thru;251-444-1122"
"Alabama;Trust Care;786 Lake Harbour Drive;Ridgeland;Clinic;(601) 499-0022"
"Alabama;Trust Care;1051 Highland Colony Parkway, Suite E;Ridgeland;Clinic;(601) 707-3737"
"Alabama;Walmart;1095 Industrial Pkwy;Saraland;Drive-thru;"
"Alabama;Northeast Alabama Health Services;70 Freedom Drive;Scottsboro;Drive-thru;256-574-5508"
"Alabama;Northeast Alabama Health Services;21680 Alabama Hwy 79;Scottsboro;Drive-thru;256-587-3050"
"Alabama;Main Street Family Care;1475 AL Hwy 14 East;Selma;Clinic;(334) 526-3240"
"Alabama;Walmart;108 W Dallas Ave;Selma;Drive-thru;"
"Alabama;Stopwatch Urgent Care;110 Legacy Park Way;Springville;Clinic;205.719.1000"
"Alabama;Main Street Family Care;40900 US Hwy 280;Sylacauga;Clinic;256-369-0022"
"Alabama;Brookwood Baptist;604 Stone Ave;Talladega;Clinic;(256) 362-8111"
"Alabama;Main Street Family Care;837 E. Battle Street;Talladega;Clinic;256-649-8134"
"Alabama;Walmart;300 Medical Park Drive;Thomasville;Drive-thru;"
"Alabama;Troy University Soccer Complex;326 Veterans Memorial Drive;Troy;Drive-thru;(334) 792-9070"
"Alabama;Stopwatch Urgent Care;1212 Highway 231 S;Troy;Clinic;334.888.0827"
"Alabama;Emergicare;1601 University Blvd E;Tuscaloosa;Clinic;(205) 349-2273"
"Alabama;Crimson Care;1251 McFarland Blvd NE;Tuscaloosa;Clinic;(205) 349-2323"
"Alabama;First Care;1251 McFarland Blvd NE;Tuscaloosa;Clinic;(205) 349-2323"
"Alabama;Crimson Care;1771 Skyland Blvd E;Tuscaloosa;Clinic;(205) 507-1119"
"Alabama;DCH Health System;809 University Blvd E;Tuscaloosa;Clinic;(205) 759-7111"
"Alabama;Crimson Care;1718 Veterans Memorial Parkway;Tuscaloosa;Clinic;205-507-1100"
"Alabama;Tuscaloosa County Health Department;2350 Hargrove Road East;Tuscaloosa;Drive-thru;205-562-6900"
"Alabama;Whatley Health;2731 Martin Luther King Jr. Blvd.;Tuscaloosa;Clinic;205.758.6647"
"Alabama;EAMC-Lanier;4800 48th Street;Valley;Drive-thru;334-528-SICK"
"Alabama;Main Street Family Care;3306 20th Ave.;Valley;Clinic;334-756-0305"
"Alabama;American Family Care;1680 Montgomery Hwy;Vestavia Hills;Clinic;205-236-6394"
"Alabama;Christ Health;5705 First Ave. North;Woodlawn;Clinic;"
"Alabama;Stopwatch Urgent Care;2900 Pepperell Pkwy;‍Opelika;Clinic;"
"Alaska;Walgreens;4353 Lake Otis Parkway;Anchorage;Drive-thru;"
"Alaska;;4115 Lake Otis Pkwy;Anchorage;Drive-thru;"
"Alaska;Eagle River;16620 Brooks Loop;Eagle River;Drive-thru;"
"Alaska;Fairbanks' Foundation Health Partners;9th Avenue & Noble Street;Fairbanks;Drive-thru;907-458-2888"
"Arizona;CVS Health COVID-19 Testing Site;325 West Apache Trail;Apache Junction;Drive-thru;"
"Arizona;CVS Health COVID-19 Testing Site;5400 East Carefree Highway/PO Box 5482;Carefree;Drive-thru;"
"Arizona;NextCare Urgent Care;1683 E Florence Blvd;Casa Grande;Drive-thru;520-876-0800"
"Arizona;CVS Health COVID-19 Testing Site;1686 East Florence Boulevard;Casa Grande;Drive-thru;"
"Arizona;FastMED Urgent Care;3705 S Arizona Ave, Suite 1;Chandler;Clinic;480-214-7828"
"Arizona;NextCare Urgent Care;600 S Dobson Rd;Chandler;Drive-thru;480-814-1560"
"Arizona;FastMED Urgent Care;2875 W Ray Rd, Suite 8;Chandler;Clinic;480-899-3070"
"Arizona;Cigna Medical Center;1717 W. Chandler Blvd.;Chandler;Clinic;480.821.7565"
"Arizona;CVS Health COVID-19 Testing Site;2995 East Chandler Heights Road;Chandler;Drive-thru;"
"Arizona;CVS Health COVID-19 Testing Site;4990 South Arizona Avenue;Chandler;Drive-thru;"
"Arizona;CVS Health COVID-19 Testing Site;180 North Dobson Road;Chandler;Drive-thru;"
"Arizona;CVS Health COVID-19 Testing Site;3990 West Ray Road;Chandler;Drive-thru;"
"Arizona;CVS Health COVID-19 Testing Site;5975 West Chandler Boulevard;Chandler;Drive-thru;"
"Arizona;CVS Health COVID-19 Testing Site;990 East Pecos Road;Chandler;Drive-thru;"
"Arizona;CVS Health COVID-19 Testing Site;990 East Warner Road;Chandler;Drive-thru;"
"Arizona;Thumb Butte;87 S. State Route 89;Chino Valley;Clinic;928.208.4309"
"Arizona;Northern Arizona Healthcare;269 S Candy Ln;Cottonwood;Drive-thru;1-833-708-0894"
"Arizona;CVS Health COVID-19 Testing Site;1179 South State Route 260;Cottonwood;Drive-thru;"
"Arizona;CVS Health COVID-19 Testing Site;286 East 7th Street;Douglas;Drive-thru;"
"Arizona;Walgreens;15385 N Dysart Rd;El Mirage;Drive-thru;"
"Arizona;Northern Arizona Healthcare;2446 Fort Tuthill Loop;Flagstaff;Drive-thru;928-679-7300"
"Arizona;Flagstaff Urgent Care;2700 S. Woodlands Village Blvd, Suite 700;Flagstaff;Clinic;(928) 440-5406"
"Arizona;;446 Fort Tuthill Loop;Flagstaff;Drive-thru;928-679-7300"
"Arizona;FastMED Urgent Care;495 N Pinal Pkwy, Suite 106;Florence;Clinic;520-868-0573"
"Arizona;CVS Health COVID-19 Testing Site;4744 South Highway 95;Fort Mohave;Drive-thru;"
"Arizona;Carespot;2487 South Gilbert Road, Suite 108;Gilbert;Clinic;480-485-4789"
"Arizona;NextCare Urgent Care;6343 South Higley Road;Gilbert;Drive-thru;480-748-2712"
"Arizona;Cigna Medical Center;3530 S. Val Vista Dr., #101;Gilbert;Clinic;480.722.2340"
"Arizona;CVS Health COVID-19 Testing Site;2371 East Guadalupe Street;Gilbert;Drive-thru;"
"Arizona;CVS Health COVID-19 Testing Site;2428 South Val Vista Drive;Gilbert;Drive-thru;"
"Arizona;CVS Health COVID-19 Testing Site;3170 South Higley Road;Gilbert;Drive-thru;"
"Arizona;CVS Health COVID-19 Testing Site;765 South Lindsay Road;Gilbert;Drive-thru;"
"Arizona;NextCare Urgent Care;18589 N 59th Ave;Glendale;Drive-thru;602-547-2600"
"Arizona;Cigna Medical Center;5891 W. Eugie Ave.;Glendale;Clinic;602.588.6600"
"Arizona;FastMED Urgent Care;3730 W Happy Valley Rd, Suite 100;Glendale;Clinic;623-277-4140"
"Arizona;Redirect Health Centers Clinic;16390 N 59th Ave #200;Glendale;Drive-thru;623-334-4000"
"Arizona;NextCare Urgent Care;9494 W Northern Ave #101;Glendale;Drive-thru;623-872-2226"
"Arizona;CVS Health COVID-19 Testing Site;5125 West Olive Avenue;Glendale;Drive-thru;"
"Arizona;CVS Health COVID-19 Testing Site;7499 West Bethany Home Road;Glendale;Drive-thru;"
"Arizona;FastMED Urgent Care;1507 N Litchfield Rd, Suite 200;Goodyear;Clinic;623-215-0040"
"Arizona;Cigna Medical Center;14445 W. McDowell Rd., #A-104;Goodyear;Clinic;623.536.3720"
"Arizona;CVS Health COVID-19 Testing Site;2840 North Dysart Road;Goodyear;Drive-thru;"
"Arizona;CVS Health COVID-19 Testing Site;3501 Stockton Hill Road;Kingman;Drive-thru;"
"Arizona;CVS Health COVID-19 Testing Site;75 North Lake Havasu Avenue;Lake Havasu City;Drive-thru;"
"Arizona;Carespot;5130 W Baseline Road;Laveen;Clinic;602-833-1143"
"Arizona;CVS Health COVID-19 Testing Site;5050 West Baseline Road;Laveen;Drive-thru;"
"Arizona;Carespot;13840 West Camelback Road, Suite 10;Litchfield Park;Clinic;928-723-4828"
"Arizona;CVS Health COVID-19 Testing Site;4890 North Litchfield Road;Litchfield Park;Drive-thru;"
"Arizona;FastMED Urgent Care;7850 N Silverbell Rd, Suite 132;Marana;Clinic;520-407-5884"
"Arizona;CVS Health COVID-19 Testing Site;44274 West-Smith Enke Rd.;Maricopa;Drive-thru;"
"Arizona;FastMED Urgent Care;1810 S Power Rd, Suite 101;Mesa;Clinic;480-214-0045"
"Arizona;Maready Medical;4135 S. Power Rd. #113;Mesa;Drive-thru;480-626-2444"
"Arizona;FastMED Urgent Care;415 N Val Vista Dr, Suite 101;Mesa;Clinic;480-654-5661"
"Arizona;FastMED Urgent Care;835 W University Dr;Mesa;Clinic;480-664-6007"
"Arizona;NextCare Urgent Care;1066 N Power Rd. #101;Mesa;Drive-thru;480-807-0130"
"Arizona;Cigna Medical Center;1840 S. Stapley Dr., #101;Mesa;Clinic;480.464.8500"
"Arizona;Cigna Medical Center;6811 E. Superstition Springs Blvd.;Mesa;Clinic;480.641.4000"
"Arizona;Cigna Medical Center;5735 E. McKellips Rd., #101;Mesa;Clinic;480.718.6444"
"Arizona;CVS Health COVID-19 Testing Site;2809 South Sossaman Road;Mesa;Drive-thru;"
"Arizona;CVS Health COVID-19 Testing Site;9152 East Brown Road;Mesa;Drive-thru;"
"Arizona;CVS Health COVID-19 Testing Site;360 North Val Vista;Mesa;Drive-thru;"
"Arizona;Banner Desert Medical Center;1400 S Dobson Rd;Mesa;Drive-thru;"
"Arizona;CVS Health COVID-19 Testing Site;1151 East McKellips Road;Mesa;Drive-thru;"
"Arizona;CVS Health COVID-19 Testing Site;5954 East McDowell Road;Mesa;Drive-thru;"
"Arizona;CVS Health COVID-19 Testing Site;6015 East Brown Road;Mesa;Drive-thru;"
"Arizona;CVS Health COVID-19 Testing Site;7547 East Southern Avenue;Mesa;Drive-thru;"
"Arizona;CVS Health COVID-19 Testing Site;9230 E. Broadway Road;Mesa;Drive-thru;"
"Arizona;NextCare Urgent Care;298 W Mariposa Rd;Nogales;Drive-thru;(520) 394-7388"
"Arizona;Southern Arizona Urgent Care Plus;1880 E. Tangerine Rd. Suite 100;Oro Valley;Clinic;(520) 900-7006"
"Arizona;Southern Arizona Urgent Care Plus;7725 N. Oracle Rd. Suite 131;Oro Valley;Clinic;(520) 544-2273"
"Arizona;CVS Health COVID-19 Testing Site;10650 North Oracle Road;Oro Valley;Drive-thru;"
"Arizona;Carespot;24874 N 67th Ave;Peoria;Clinic;602-313-1561"
"Arizona;Carespot;21471 N Lake Pleasant Parkway, Suite 1710;Peoria;Clinic;623-300-1421"
"Arizona;Cigna Medical Center;21731 N. 77th Ave., #1300;Peoria;Clinic;623.561.3300"
"Arizona;CVS Health COVID-19 Testing Site;8332 West Thunderbird Road;Peoria;Drive-thru;"
"Arizona;CVS Health COVID-19 Testing Site;9856 West Peoria Avenue;Peoria;Drive-thru;"
"Arizona;CVS Health COVID-19 Testing Site;9069 West Lake Pleasant Parkway;Peoria;Drive-thru;"
"Arizona;CVS Health COVID-19 Testing Site;7530 West Cactus Road;Peoria;Drive-thru;"
"Arizona;CVS Health COVID-19 Testing Site;North Lake Pleasant Parkway;Peoria;Drive-thru;"
"Arizona;CVS Health COVID-19 Testing Site;10727 West Olive Avenue;Peoria;Drive-thru;"
"Arizona;CVS Health COVID-19 Testing Site;9172 West Union Hills Drive;Peoria;Drive-thru;"
"Arizona;FastMED Urgent Care;2860 W Peoria Ave, Suite B;Phoenix;Clinic;602-283-0595"
"Arizona;FastMED Urgent Care;3131 E Thunderbird Rd, Suite A;Phoenix;Clinic;602-283-3609"
"Arizona;FastMED Urgent Care;401 E Bell Rd, Suite 18;Phoenix;Clinic;602-368-1403"
"Arizona;HonorHealth Medical Group Urgent Care - Saguaro;18404 N Tatum Blvd Ste 101C;Phoenix;Clinic;602-485-7475"
"Arizona;Family Tree Healthcare;7002 S Central Avenue;Phoenix;Clinic;602-499-4221"
"Arizona;HonorHealth Medical Group Urgent Care - Bethany Home;1515 E Bethany Home Rd Ste 120B;Phoenix;Clinic;602-674-6260"
"Arizona;FastMED Urgent Care;5201 N 19th Ave, Suite 100;Phoenix;Clinic;602-795-1411"
"Arizona;FastMED Urgent Care;2301 N 44th St;Phoenix;Clinic;602-808-8786"
"Arizona;NextCare Urgent Care;1701 E Thomas Rd.;Phoenix;Drive-thru;602-845-4445"
"Arizona;Cigna Medical Center;7236 S. Central Ave.;Phoenix;Clinic;602.276.5565"
"Arizona;Cigna Medical Center;3003 N. 3rd St.;Phoenix;Clinic;602.282.9800"
"Arizona;Cigna Medical Center;3805 E. Bell Rd., #2100;Phoenix;Clinic;602.404.5200"
"Arizona;Cigna Medical Center;7000 N. 16th St., #130;Phoenix;Clinic;602.567.1901"
"Arizona;Cigna Medical Center;710 W. Bell Rd.;Phoenix;Clinic;602.588.3800"
"Arizona;NextCare Urgent Care;5920 W McDowell Rd;Phoenix;Drive-thru;623-245-0440"
"Arizona;FastMED Urgent Care;8260 W Indian School Rd, Suite 1;Phoenix;Clinic;623-846-7122"
"Arizona;FastMED Urgent Care;5259 W Indian School Rd, Suite 100;Phoenix;Clinic;623-888-5101"
"Arizona;Cigna Medical Center;2302 N. 75th Ave.;Phoenix;Clinic;623.849.7500"
"Arizona;Banner Health;Multiple locations, call for details;Phoenix;Drive-thru;844-549-1851"
"Arizona;CVS Health COVID-19 Testing Site;2406 East Thomas Road;Phoenix;Drive-thru;"
"Arizona;CVS Health COVID-19 Testing Site;28635 North Valley Parkway;Phoenix;Drive-thru;"
"Arizona;CVS Health COVID-19 Testing Site;3210 East Union Hills;Phoenix;Drive-thru;"
"Arizona;CVS Health COVID-19 Testing Site;3610 West Anthem Way;Phoenix;Drive-thru;"
"Arizona;CVS Health COVID-19 Testing Site;6650 West Lower Buckeye Road;Phoenix;Drive-thru;"
"Arizona;CVS Health COVID-19 Testing Site;4657 East Chandler Boulevard;Phoenix;Drive-thru;"
"Arizona;CVS Health COVID-19 Testing Site;3975 East Thunderbird Road;Phoenix;Drive-thru;"
"Arizona;CVS Health COVID-19 Testing Site;711 E Indian School Rd.;Phoenix;Drive-thru;"
"Arizona;CVS Health COVID-19 Testing Site;7550 South 19th Avenue;Phoenix;Drive-thru;"
"Arizona;CVS Health COVID-19 Testing Site;4040 North 19th Avenue;Phoenix;Drive-thru;"
"Arizona;CVS Health COVID-19 Testing Site;1615 East Baseline;Phoenix;Drive-thru;"
"Arizona;CVS Health COVID-19 Testing Site;10707 West Camelback Road;Phoenix;Drive-thru;"
"Arizona;CVS Health COVID-19 Testing Site;1625 North 44th Street;Phoenix;Drive-thru;"
"Arizona;CVS Health COVID-19 Testing Site;1850 West Dunlap Avenue;Phoenix;Drive-thru;"
"Arizona;CVS Health COVID-19 Testing Site;1855 West Thunderbird Road;Phoenix;Drive-thru;"
"Arizona;CVS Health COVID-19 Testing Site;3560 West Peoria Avenue;Phoenix;Drive-thru;"
"Arizona;CVS Health COVID-19 Testing Site;4323 East Bell Road;Phoenix;Drive-thru;"
"Arizona;CVS Health COVID-19 Testing Site;4430 East Ray Road;Phoenix;Drive-thru;"
"Arizona;CVS Health COVID-19 Testing Site;6021 South Central Avenue;Phoenix;Drive-thru;"
"Arizona;Walgreens;705 E MCDOWELL RD;PHOENIX;Drive-thru;"
"Arizona;Walgreens;2650 W Glendale Ave;Phoenix;Drive-thru;"
"Arizona;CVS Health COVID-19 Testing Site;1525 North Central Avenue;Phoenix;Drive-thru;"
"Arizona;Thumb Butte;3124 Willow Creek Rd.;Prescott;Clinic;928.445.7085"
"Arizona;CVS Health COVID-19 Testing Site;901 Willow Lake Road;Prescott;Drive-thru;"
"Arizona;Thumb Butte;6496 E. HWY 69;Prescott Valley;Clinic;928.775.9007"
"Arizona;CVS Health COVID-19 Testing Site;3025 North Windsong Drive;Prescott Valley;Drive-thru;"
"Arizona;CVS Health COVID-19 Testing Site;7587 South Power Road;Queen Creek;Drive-thru;"
"Arizona;Bio Clinic;1453 N Main Street, Ste. 3;San Luis;Clinic;928-315-6801"
"Arizona;Cigna Medical Center;36305 N. Gantzel Rd., #102;San Tan Valley;Clinic;480.987.6900"
"Arizona;NextCare Urgent Care;2122 N Scottsdale Rd;Scottsdale;Drive-thru;(480) 889-3570"
"Arizona;FastMED Urgent Care;4902 E Shea Blvd, Suite 101;Scottsdale;Clinic;480-214-4468"
"Arizona;Carespot;23015 N Scottsdale Road, Suite 101;Scottsdale;Clinic;480-485-2203"
"Arizona;FastMED Urgent Care;7730 E Mcdowell Rd, Suite 101;Scottsdale;Clinic;480-699-3314"
"Arizona;Cigna Medical Center;10900 N. Scottsdale Rd., #606;Scottsdale;Clinic;480.368.2500"
"Arizona;Cigna Medical Center;7287 E. Earll Dr., Bldg. D;Scottsdale;Clinic;480.840.0800"
"Arizona;CVS Health COVID-19 Testing Site;7111 East Bell Road;Scottsdale;Drive-thru;"
"Arizona;CVS Health COVID-19 Testing Site;7552 Indian School Road;Scottsdale;Drive-thru;"
"Arizona;CVS Health COVID-19 Testing Site;32331 North Scottsdale Road;Scottsdale;Drive-thru;"
"Arizona;CVS Health COVID-19 Testing Site;23215 North Pima Road;Scottsdale;Drive-thru;"
"Arizona;CVS Health COVID-19 Testing Site;10010 North Scottsdale Road;Scottsdale;Drive-thru;"
"Arizona;CVS Health COVID-19 Testing Site;10160 East Bell Road;Scottsdale;Drive-thru;"
