Eligibility,Link
call for appt; symptomatic/10+ years or older,https://www.alabamapublichealth.gov/news/2020/04/23.html
,https://www.mainstreetfamilycare.com/coronavirus-testing/#
call first,https://alabamamedicine.org/coronavirus/physician-resources/coronavirus-testing-locations/
,https://www.baptistfirst.org/services/coronavirus-care-clinic?utm_source=local-listing&utm_medium=organic&utm_campaign=website-link
,https://www.afcurgentcare.com/atlanta-hwy/?L=true
,https://www.afcurgentcare.com/taylor-crossing/
,https://www.afcurgentcare.com/taylor-crossing/
,https://corporate.walmart.com/covid19testing
,https://www.mainstreetfamilycare.com/coronavirus-testing/#
,http://mchd.org/Documents/BulkDocuments/News_611202085057am_COVID19TestingSites_v4.pdf.pdf
,https://www.urgentteam.com/coronavirus-covid-19/
,https://www.mittlaryfamilypractice.com/
,https://www.mainstreetfamilycare.com/coronavirus-testing/#
,https://www.stopwatchurgentcare.com/
,http://www.capstoneclinic.org/announcements/capstone-giving-tests-looking-for-supplies-with-covid?A=SearchResult&SearchID=5848052&ObjectID=104469&ObjectType=7
,https://www.mainstreetfamilycare.com/coronavirus-testing/#
,https://www.stopwatchurgentcare.com/
,https://www.baptistfirst.org/services/coronavirus-care-clinic?utm_source=local-listing&utm_medium=organic&utm_campaign=website-link
,http://mchd.org/Documents/BulkDocuments/News_611202085057am_COVID19TestingSites_v4.pdf.pdf
,https://franklinprimary.org/covid-19/
,https://www.trustcarehealth.com/covid19?utm_source=website&utm_medium=sticky&utm_campaign=covid19curbside
,https://www.trustcarehealth.com/covid19?utm_source=website&utm_medium=sticky&utm_campaign=covid19curbside
,https://corporate.walmart.com/covid19testing
,https://neahsi.com/
,https://neahsi.com/
,https://www.mainstreetfamilycare.com/coronavirus-testing/#
,https://corporate.walmart.com/covid19testing
,https://www.stopwatchurgentcare.com/
,https://www.mainstreetfamilycare.com/coronavirus-testing/#
,https://www.brookwoodbaptisthealth.com/our-response-to-covid-19
,https://www.mainstreetfamilycare.com/coronavirus-testing/#
,https://corporate.walmart.com/covid19testing
symptomatic/10+ years or older; referral,https://www.alabamapublichealth.gov/news/2020/04/24e.html
,https://www.stopwatchurgentcare.com/
,https://emergicareclinic.com/
,https://www.crimsoncare.com/
,https://www.firstcaremd.com/covid-testing
,https://www.crimsoncare.com/
,https://www.dchsystem.com/covid-19/
,https://www.crimsoncare.com/
call for appt; symptomatic/10+ years or older,https://www.alabamapublichealth.gov/news/2020/04/24d.html
,https://www.whatleyhealth.org/
appt only,https://www.eamc.org/patient-and-guests/covid-19-information/
,https://www.mainstreetfamilycare.com/coronavirus-testing/#
,https://www.afcurgentcare.com/hoover/?utm_source=GMB&utm_medium=organic&utm_campaign=Hoover
text SICK to 74000 for pre screening,https://www.birminghamal.gov/2020/03/30/covid-19-testing-sites-and-sick-clinics-available-in-birmingham/
Register here.,https://www.stopwatchurgentcare.com/
No appointment needed. A valid ID is required. Bring insurance card if you have one.,
,https://www.mainstreetfamilycare.com/coronavirus-testing/#
,https://www.thelittleclinic.com/drivethru-testing
,https://www.medexpress.com/location/ar/north-little-rock/nla/
schedule here: https://www.cvs.com/minuteclinic/covid-19-testing,
schedule here: https://www.cvs.com/minuteclinic/covid-19-testing,
,https://nextcare.com/coronavirus-covid-19/
schedule here: https://www.cvs.com/minuteclinic/covid-19-testing,
,https://www.fastmed.com/about-fastmed/news-and-press/fastmed-urgent-care-introduces-covid-19-testing-and-telemedicine/
,https://nextcare.com/coronavirus-covid-19/
,https://www.fastmed.com/about-fastmed/news-and-press/fastmed-urgent-care-introduces-covid-19-testing-and-telemedicine/
,https://www.cigna.com/cmgaz/
schedule here: https://www.cvs.com/minuteclinic/covid-19-testing,
schedule here: https://www.cvs.com/minuteclinic/covid-19-testing,
schedule here: https://www.cvs.com/minuteclinic/covid-19-testing,
schedule here: https://www.cvs.com/minuteclinic/covid-19-testing,
schedule here: https://www.cvs.com/minuteclinic/covid-19-testing,
schedule here: https://www.cvs.com/minuteclinic/covid-19-testing,
schedule here: https://www.cvs.com/minuteclinic/covid-19-testing,
,https://www.thumbbuttemedicalcenter.com/
,https://www.nahealth.com/covid-19-resources/testing-tiers-and-locations
schedule here: https://www.cvs.com/minuteclinic/covid-19-testing,
schedule here: https://www.cvs.com/minuteclinic/covid-19-testing,
Appointment only – complete questionnaire: Walgreens.com/Covid19Testing,https://www.walgreens.com/findcare/covid19/testing?ext=goodrx
,https://www.nahealth.com/covid-19-resources/testing-tiers-and-locations
,https://www.flagstaffurgentcare.com/
,https://www.fox10phoenix.com/news/list-coronavirus-testing-locations-in-arizona
,https://www.fastmed.com/about-fastmed/news-and-press/fastmed-urgent-care-introduces-covid-19-testing-and-telemedicine/
schedule here: https://www.cvs.com/minuteclinic/covid-19-testing,
,https://www.carespot.com/covid19-visitor-info/
,https://nextcare.com/coronavirus-covid-19/
,https://www.cigna.com/cmgaz/
schedule here: https://www.cvs.com/minuteclinic/covid-19-testing,
schedule here: https://www.cvs.com/minuteclinic/covid-19-testing,
schedule here: https://www.cvs.com/minuteclinic/covid-19-testing,
schedule here: https://www.cvs.com/minuteclinic/covid-19-testing,
,https://nextcare.com/coronavirus-covid-19/
,https://www.cigna.com/cmgaz/
,https://www.fastmed.com/about-fastmed/news-and-press/fastmed-urgent-care-introduces-covid-19-testing-and-telemedicine/
,https://redirecthealth.com/
,https://nextcare.com/coronavirus-covid-19/
schedule here: https://www.cvs.com/minuteclinic/covid-19-testing,
schedule here: https://www.cvs.com/minuteclinic/covid-19-testing,
,https://www.fastmed.com/about-fastmed/news-and-press/fastmed-urgent-care-introduces-covid-19-testing-and-telemedicine/
,https://www.cigna.com/cmgaz/
schedule here: https://www.cvs.com/minuteclinic/covid-19-testing,
schedule here: https://www.cvs.com/minuteclinic/covid-19-testing,
schedule here: https://www.cvs.com/minuteclinic/covid-19-testing,
,https://www.carespot.com/covid19-visitor-info/
schedule here: https://www.cvs.com/minuteclinic/covid-19-testing,
,https://www.carespot.com/covid19-visitor-info/
schedule here: https://www.cvs.com/minuteclinic/covid-19-testing,
,https://www.fastmed.com/about-fastmed/news-and-press/fastmed-urgent-care-introduces-covid-19-testing-and-telemedicine/
schedule here: https://www.cvs.com/minuteclinic/covid-19-testing,
,https://www.fastmed.com/about-fastmed/news-and-press/fastmed-urgent-care-introduces-covid-19-testing-and-telemedicine/
,https://www.mareadymedical.com/covid-19
,https://www.fastmed.com/about-fastmed/news-and-press/fastmed-urgent-care-introduces-covid-19-testing-and-telemedicine/
,https://www.fastmed.com/about-fastmed/news-and-press/fastmed-urgent-care-introduces-covid-19-testing-and-telemedicine/
,https://nextcare.com/coronavirus-covid-19/
,https://www.cigna.com/cmgaz/
,https://www.cigna.com/cmgaz/
,https://www.cigna.com/cmgaz/
schedule here: https://www.cvs.com/minuteclinic/covid-19-testing,
schedule here: https://www.cvs.com/minuteclinic/covid-19-testing,
schedule here: https://www.cvs.com/minuteclinic/covid-19-testing,
no call required; charged as ER visit,
schedule here: https://www.cvs.com/minuteclinic/covid-19-testing,
schedule here: https://www.cvs.com/minuteclinic/covid-19-testing,
schedule here: https://www.cvs.com/minuteclinic/covid-19-testing,
schedule here: https://www.cvs.com/minuteclinic/covid-19-testing,
schedule here: https://www.cvs.com/minuteclinic/covid-19-testing,
,https://nextcare.com/coronavirus-covid-19/
,https://southernarizonaurgentcare.com/covid-19/
,https://southernarizonaurgentcare.com/covid-19/
schedule here: https://www.cvs.com/minuteclinic/covid-19-testing,
,https://www.carespot.com/covid19-visitor-info/
,https://www.carespot.com/covid19-visitor-info/
,https://www.cigna.com/cmgaz/
schedule here: https://www.cvs.com/minuteclinic/covid-19-testing,
schedule here: https://www.cvs.com/minuteclinic/covid-19-testing,
schedule here: https://www.cvs.com/minuteclinic/covid-19-testing,
schedule here: https://www.cvs.com/minuteclinic/covid-19-testing,
schedule here: https://www.cvs.com/minuteclinic/covid-19-testing,
schedule here: https://www.cvs.com/minuteclinic/covid-19-testing,
schedule here: https://www.cvs.com/minuteclinic/covid-19-testing,
,https://www.fastmed.com/about-fastmed/news-and-press/fastmed-urgent-care-introduces-covid-19-testing-and-telemedicine/
,https://www.fastmed.com/about-fastmed/news-and-press/fastmed-urgent-care-introduces-covid-19-testing-and-telemedicine/
,https://www.fastmed.com/about-fastmed/news-and-press/fastmed-urgent-care-introduces-covid-19-testing-and-telemedicine/
,https://www.honorhealth.com/coronavirus-covid-19/testing
First come first serve,https://www.familytreehealthcare.com/free-covid-19
,https://www.honorhealth.com/coronavirus-covid-19/testing
,https://www.fastmed.com/about-fastmed/news-and-press/fastmed-urgent-care-introduces-covid-19-testing-and-telemedicine/
,https://www.fastmed.com/about-fastmed/news-and-press/fastmed-urgent-care-introduces-covid-19-testing-and-telemedicine/
,https://nextcare.com/coronavirus-covid-19/
,https://www.cigna.com/cmgaz/
,https://www.cigna.com/cmgaz/
,https://www.cigna.com/cmgaz/
,https://www.cigna.com/cmgaz/
,https://www.cigna.com/cmgaz/
,https://nextcare.com/coronavirus-covid-19/
,https://www.fastmed.com/about-fastmed/news-and-press/fastmed-urgent-care-introduces-covid-19-testing-and-telemedicine/
,https://www.fastmed.com/about-fastmed/news-and-press/fastmed-urgent-care-introduces-covid-19-testing-and-telemedicine/
,https://www.cigna.com/cmgaz/
"call for pre-screen; symptomatic; Not releasing test locations, call for appt",
schedule here: https://www.cvs.com/minuteclinic/covid-19-testing,
schedule here: https://www.cvs.com/minuteclinic/covid-19-testing,
schedule here: https://www.cvs.com/minuteclinic/covid-19-testing,
schedule here: https://www.cvs.com/minuteclinic/covid-19-testing,
schedule here: https://www.cvs.com/minuteclinic/covid-19-testing,
schedule here: https://www.cvs.com/minuteclinic/covid-19-testing,
schedule here: https://www.cvs.com/minuteclinic/covid-19-testing,
schedule here: https://www.cvs.com/minuteclinic/covid-19-testing,
schedule here: https://www.cvs.com/minuteclinic/covid-19-testing,
schedule here: https://www.cvs.com/minuteclinic/covid-19-testing,
schedule here: https://www.cvs.com/minuteclinic/covid-19-testing,
schedule here: https://www.cvs.com/minuteclinic/covid-19-testing,
schedule here: https://www.cvs.com/minuteclinic/covid-19-testing,
schedule here: https://www.cvs.com/minuteclinic/covid-19-testing,
schedule here: https://www.cvs.com/minuteclinic/covid-19-testing,
schedule here: https://www.cvs.com/minuteclinic/covid-19-testing,
schedule here: https://www.cvs.com/minuteclinic/covid-19-testing,
schedule here: https://www.cvs.com/minuteclinic/covid-19-testing,
schedule here: https://www.cvs.com/minuteclinic/covid-19-testing,
Appointment only – complete questionnaire: Walgreens.com/Covid19Testing,https://www.walgreens.com/findcare/covid19/testing?ext=goodrx
No appointment needed. A valid ID is required. Bring insurance card if you have one.,https://www.walgreens.com/findcare/covid19/testing?ext=goodrx
schedule here: https://www.cvs.com/minuteclinic/covid-19-testing,
,https://www.thumbbuttemedicalcenter.com/
schedule here: https://www.cvs.com/minuteclinic/covid-19-testing,
,
schedule here: https://www.cvs.com/minuteclinic/covid-19-testing,
schedule here: https://www.cvs.com/minuteclinic/covid-19-testing,
,https://biofamilyclinic.com/2020/03/17/coronavirus-covid-19/
,https://www.cigna.com/cmgaz/
,https://nextcare.com/coronavirus-covid-19/
,https://www.fastmed.com/about-fastmed/news-and-press/fastmed-urgent-care-introduces-covid-19-testing-and-telemedicine/
,https://www.carespot.com/covid19-visitor-info/
,https://www.fastmed.com/about-fastmed/news-and-press/fastmed-urgent-care-introduces-covid-19-testing-and-telemedicine/
,https://www.cigna.com/cmgaz/
,https://www.cigna.com/cmgaz/
schedule here: https://www.cvs.com/minuteclinic/covid-19-testing,
schedule here: https://www.cvs.com/minuteclinic/covid-19-testing,
schedule here: https://www.cvs.com/minuteclinic/covid-19-testing,
schedule here: https://www.cvs.com/minuteclinic/covid-19-testing,
schedule here: https://www.cvs.com/minuteclinic/covid-19-testing,
schedule here: https://www.cvs.com/minuteclinic/covid-19-testing,
schedule here: https://www.cvs.com/minuteclinic/covid-19-testing,
schedule here: https://www.cvs.com/minuteclinic/covid-19-testing,
,https://summithealthcare.net/summit-healthcare-regional-medical-center-restrict-visitors-as-covid-19-coronavirus-precaution
,https://summithealthcare.net/summit-healthcare-regional-medical-center-restrict-visitors-as-covid-19-coronavirus-precaution
schedule here: https://www.cvs.com/minuteclinic/covid-19-testing,
,https://www.cigna.com/cmgaz/
schedule here: https://www.cvs.com/minuteclinic/covid-19-testing,
schedule here: https://www.cvs.com/minuteclinic/covid-19-testing,
schedule here: https://www.cvs.com/minuteclinic/covid-19-testing,
,https://www.fastmed.com/about-fastmed/news-and-press/fastmed-urgent-care-introduces-covid-19-testing-and-telemedicine/
,https://www.carespot.com/covid19-visitor-info/
,https://www.cigna.com/cmgaz/
schedule here: https://www.cvs.com/minuteclinic/covid-19-testing,
schedule here: https://www.cvs.com/minuteclinic/covid-19-testing,
,https://www.fastmed.com/about-fastmed/news-and-press/fastmed-urgent-care-introduces-covid-19-testing-and-telemedicine/
,https://www.fastmed.com/about-fastmed/news-and-press/fastmed-urgent-care-introduces-covid-19-testing-and-telemedicine/
,https://www.fastmed.com/about-fastmed/news-and-press/fastmed-urgent-care-introduces-covid-19-testing-and-telemedicine/
,https://www.cigna.com/cmgaz/
,https://www.fastmed.com/about-fastmed/news-and-press/fastmed-urgent-care-introduces-covid-19-testing-and-telemedicine/
schedule here: https://www.cvs.com/minuteclinic/covid-19-testing,
schedule here: https://www.cvs.com/minuteclinic/covid-19-testing,
schedule here: https://www.cvs.com/minuteclinic/covid-19-testing,
schedule here: https://www.cvs.com/minuteclinic/covid-19-testing,
,https://www.thelittleclinic.com/drivethru-testing
,https://www.fastmed.com/about-fastmed/news-and-press/fastmed-urgent-care-introduces-covid-19-testing-and-telemedicine/
,https://southernarizonaurgentcare.com/covid-19/
,https://southernarizonaurgentcare.com/covid-19/
,https://tucsonerhospital.com/
,https://southernarizonaurgentcare.com/covid-19/
,https://urgentspecialists.com/coronavirus-covid-19-dashboard/
,https://www.elrio.org/covid19/
,https://www.elrio.org/covid19/
,https://www.elrio.org/covid19/
,
,https://www.elrio.org/covid19/
,https://www.elrio.org/covid19/
,https://southernarizonaurgentcare.com/covid-19/
,https://southernarizonaurgentcare.com/covid-19/
,https://www.elrio.org/covid19/
,https://southernarizonaurgentcare.com/covid-19/
,https://southernarizonaurgentcare.com/covid-19/
,https://www.fastmed.com/about-fastmed/news-and-press/fastmed-urgent-care-introduces-covid-19-testing-and-telemedicine/
,https://www.fastmed.com/about-fastmed/news-and-press/fastmed-urgent-care-introduces-covid-19-testing-and-telemedicine/
,https://nextcare.com/coronavirus-covid-19/
,https://nextcare.com/coronavirus-covid-19/
,https://www.fastmed.com/about-fastmed/news-and-press/fastmed-urgent-care-introduces-covid-19-testing-and-telemedicine/
,https://nextcare.com/coronavirus-covid-19/
,https://www.fastmed.com/about-fastmed/news-and-press/fastmed-urgent-care-introduces-covid-19-testing-and-telemedicine/
,https://nextcare.com/coronavirus-covid-19/
,https://nextcare.com/coronavirus-covid-19/
,https://www.bannerhealth.com/patients/patient-resources/covid-19#Tested
schedule here: https://www.cvs.com/minuteclinic/covid-19-testing,
schedule here: https://www.cvs.com/minuteclinic/covid-19-testing,
schedule here: https://www.cvs.com/minuteclinic/covid-19-testing,
schedule here: https://www.cvs.com/minuteclinic/covid-19-testing,
schedule here: https://www.cvs.com/minuteclinic/covid-19-testing,
schedule here: https://www.cvs.com/minuteclinic/covid-19-testing,
schedule here: https://www.cvs.com/minuteclinic/covid-19-testing,
schedule here: https://www.cvs.com/minuteclinic/covid-19-testing,
schedule here: https://www.cvs.com/minuteclinic/covid-19-testing,
schedule here: https://www.cvs.com/minuteclinic/covid-19-testing,
Appointment only – complete questionnaire: Walgreens.com/Covid19Testing,https://www.walgreens.com/findcare/covid19/testing?ext=goodrx
Appointment only – complete questionnaire: Walgreens.com/Covid19Testing,https://www.walgreens.com/findcare/covid19/testing?ext=goodrx
,https://biofamilyclinic.com/2020/03/17/coronavirus-covid-19/
,https://biofamilyclinic.com/2020/03/17/coronavirus-covid-19/
,https://biofamilyclinic.com/2020/03/17/coronavirus-covid-19/
schedule here: https://www.cvs.com/minuteclinic/covid-19-testing,
,https://1stchoice-ar.org/covid19/
,https://1stchoice-ar.org/covid19/
,https://1stchoice-ar.org/covid19/
,https://corporate.walmart.com/covid19testing
,https://corporate.walmart.com/covid19testing
,https://corporate.walmart.com/covid19testing
,https://corporate.walmart.com/covid19testing
,https://corporate.walmart.com/covid19testing
,https://corporate.walmart.com/covid19testing
,https://corporate.walmart.com/covid19testing
Lakeside patients only,https://healthstarphysicians.com/downloads/COVID-19-Eval-Testing-and-Testing.pdf
,https://higginbothamfamilyclinic.com/
,https://karashealthcare.com/
,https://karashealthcare.com/
,https://www.conwayregional.org/about-us/news/295-conway-regional-health-system-offers-drive-thru-testing-for-covid-19
,https://www.facebook.com/FirstCareWalkIn/
,https://www.healthcareexpress.us/coronavirus-testing/
,https://www.medexpress.com/location/ar/north-little-rock/nla/
,https://www.medexpress.com/location/ar/north-little-rock/nla/
,https://www.medexpress.com/location/ar/north-little-rock/nla/
,https://www.nwaonline.com/news/2020/apr/02/2-state-firms-begin-drive-thru-testing-/
,https://www.urgentteam.com/coronavirus-covid-19/
,https://www.urgentteam.com/coronavirus-covid-19/
,https://www.urgentteam.com/coronavirus-covid-19/
,https://www.urgentteam.com/coronavirus-covid-19/
,https://www.urgentteam.com/coronavirus-covid-19/
,https://www.urgentteam.com/coronavirus-covid-19/
,https://www.urgentteam.com/coronavirus-covid-19/
,https://www.urgentteam.com/coronavirus-covid-19/
,https://1stchoice-ar.org/covid19/
,https://www.healthcareexpress.us/coronavirus-testing/
,https://www.mana.md/covid-19-swabbing-for-summer-camp/
,https://www.mana.md/covid-19-testing/
,https://www.mana.md/covid-19-testing/
,https://www.medexpress.com/location/ar/north-little-rock/nla/
,https://www.medexpress.com/location/ar/north-little-rock/nla/
,https://www.medexpress.com/location/ar/north-little-rock/nla/
,https://www.medexpress.com/location/ar/north-little-rock/nla/
,https://www.medexpress.com/location/ar/north-little-rock/nla/
,https://www.medexpress.com/location/ar/north-little-rock/nla/
call to schedule,https://www.nwaonline.com/news/2020/apr/02/2-state-firms-begin-drive-thru-testing-/
,https://www.urgentteam.com/coronavirus-covid-19/
,https://www.urgentteam.com/coronavirus-covid-19/
,https://www.urgentteam.com/coronavirus-covid-19/
,https://www.urgentteam.com/coronavirus-covid-19/
,https://www.urgentteam.com/coronavirus-covid-19/
,https://www.urgentteam.com/coronavirus-covid-19/
,https://www.urgentteam.com/coronavirus-covid-19/
,https://www.urgentteam.com/coronavirus-covid-19/
,https://www.urgentteam.com/coronavirus-covid-19/
,https://www.urgentteam.com/coronavirus-covid-19/
,https://www.nwaonline.com/news/2020/apr/02/2-state-firms-begin-drive-thru-testing-/
,https://www.wregional.com/main/coronavirus
For anyone with active symptoms or a respitory illness,https://www.wregional.com/main/coronavirus
For anyone who has come into contact with a Covid positive person but are asymtompatic,https://www.wregional.com/main/coronavirus
,https://www.wregional.com/main/coronavirus
call for appt,www.healthy-connections.org/covid-19
call for appt,www.healthy-connections.org/covid-19
call for appt,www.healthy-connections.org/covid-19
,
,https://www.healthcareexpress.us/coronavirus-testing/
,https://www.medexpress.com/location/ar/north-little-rock/nla/
,https://www.medexpress.com/location/ar/north-little-rock/nla/
,https://www.urgentteam.com/coronavirus-covid-19/
,https://www.urgentteam.com/coronavirus-covid-19/
Appointment only – complete questionnaire: Walgreens.com/Covid19Testing,https://www.walgreens.com/findcare/covid19/testing?ext=goodrx
call for appt,www.healthy-connections.org/covid-19
call for appt,www.healthy-connections.org/covid-19
call for appt,www.healthy-connections.org/covid-19
,
,https://1stchoice-ar.org/covid19/
,https://1stchoice-ar.org/covid19/
,https://www.medexpress.com/location/ar/north-little-rock/nla/
,
,https://www.medexpress.com/location/ar/north-little-rock/nla/
,https://www.urgentteam.com/coronavirus-covid-19/
call for appt,www.healthy-connections.org/covid-19
call or visit https://www.gohealthuc.com/arkansas/video-visits,
,https://www.facebook.com/LFCTexarkana/
,https://www.gohealthuc.com/arkansas/arkansas/springdale
,https://www.healthcareexpress.us/coronavirus-testing/
,https://www.mana.md/covid-19-testing/
,https://www.medexpress.com/location/ar/north-little-rock/nla/
,https://www.nwaonline.com/news/2020/apr/02/2-state-firms-begin-drive-thru-testing-/
,https://www.urgentteam.com/coronavirus-covid-19/
,https://www.urgentteam.com/coronavirus-covid-19/
,https://instantuc.com/covid-19-testing/
,https://moorparkca.gov/DocumentCenter/View/10597/VCHCA-COVID-19-Testing-Sites-List?bidId=
,https://moorparkca.gov/DocumentCenter/View/10597/VCHCA-COVID-19-Testing-Sites-List?bidId=
,https://moorparkca.gov/DocumentCenter/View/10597/VCHCA-COVID-19-Testing-Sites-List?bidId=
,https://moorparkca.gov/DocumentCenter/View/10597/VCHCA-COVID-19-Testing-Sites-List?bidId=
no appointment of insurance needed,https://moorparkca.gov/DocumentCenter/View/10597/VCHCA-COVID-19-Testing-Sites-List?bidId=
,https://www.carespot.com/covid19-visitor-info/
Established & Non-established Patients,https://www.emergencyslo.org/en/should-i-be-tested.aspx
,https://www.uclahealth.org/body.cfm?id=3611&ref=42&action=detail
,https://www.uclahealth.org/body.cfm?id=3611&ref=42&action=detail
schedule here: https://www.cvs.com/minuteclinic/covid-19-testing,
schedule here: https://www.cvs.com/minuteclinic/covid-19-testing,
pre screening required,https://hoagurgentcare.com/covid/
,https://marquemedical.com/information-and-locations-of-diagnostic-and-antibody-testing/
schedule here: https://www.cvs.com/minuteclinic/covid-19-testing,
,https://urgentmednetwork.com/covid-19-testing/
schedule here: https://www.cvs.com/minuteclinic/covid-19-testing,
schedule here: https://www.cvs.com/minuteclinic/covid-19-testing,
schedule here: https://www.cvs.com/minuteclinic/covid-19-testing,
schedule here: https://www.cvs.com/minuteclinic/covid-19-testing,
schedule here: https://www.cvs.com/minuteclinic/covid-19-testing,
,https://www.borregohealth.org/covid-19-testing
schedule here: https://www.cvs.com/minuteclinic/covid-19-testing,
,http://urgentcare3d.com/#services
